url,title,image_url,description,amount_raised,days_running,labels
https://www.gofundme.com/f/honoring-trey-reed-continuing-the-fight-for-justice?qid=ac823184676f2c3da1bbae3d71d4ae22,Honoring Trey Reed & Continuing the Fight for Justice.,https://images.gofundme.com/I-QK8GA6MDYIpFwMhnGKMzN5y60=/128x128/https://www.gofundme.com/person/profiles/ef9f86f74d144ea889fd13abd285072d_edited_photo_1759180247606.jpeg,"Honoring Trey Reed & Continuing the Fight for Justice.
___________________________________________
We are coming together to raise funds for a permanent headstone for Trey Reed—a son, a brother, a friend, and a life taken too soon. Trey's memory with dignity, love, and respect.
But this is more than just about a headstone. Trey's life and death represent the urgent need to keep fighting for justice. Every contribution helps us not only cover the costs of his headstone but also support ongoing organizing efforts: protests, awareness campaigns, and community action to make sure his story is never forgotten and that no other family has to endure this pain.
Your donation will:
Provide Trey with a beautiful headstone to honor his legacy.
Support the continued fight for justice in his name.
Help cover the cost of organizing protests, community outreach, and advocacy.
Trey Reed's life mattered.
His story matters.
Together, we can honor him properly and carry his spirit forward in the struggle for justice.
Thank you for your love, your support, and your solidarity.",18538,7.0,"People, Community, Happiness, Buzz cut"
https://www.gofundme.com/f/support-velez-jiu-jitsus-new-home?qid=ac823184676f2c3da1bbae3d71d4ae22,Support Velez Jiu Jitsu's New Home,https://images.gofundme.com/v8a8nzpAKlkbg3AlVqfa_zoT2Us=/1200x900/https://d2g8igdw686xgo.cloudfront.net/95337283_1759584304550307_r.png,"Velez Jiu Jitsu's home gym has been totaled in a fire overnight. No lives were lost, and we thank first responders for acting with such bravery.
This location was a second home for many of us. The memories we've made here will last forever. Together, we will rebuild what was lost and rise from the ashes stronger than ever.
The fund will be reserved for helping set up a new location.",13541,2.0,"Logo, Symbol, Graphics, Emblem, Graphic design"
https://www.gofundme.com/f/next-step-produce-disaster-relief?qid=ac823184676f2c3da1bbae3d71d4ae22,Next Step Produce Disaster Relief,https://images.gofundme.com/LLBvmi0N2CZMaewUBwKFCNPsu7c=/128x128/https://www.gofundme.com/person/profiles/b0904335decc461caac9507892f0e18d_edited_photo_1759443417498.jpeg,"My dear friends Heinz and Gabrielle would never ask for your help and are not the kind of people to hold a grudge, so instead of asking permission, I’ll seek the forgiveness they would never withhold.
Their farm in Newburg, MD suffered a tragic loss on Wednesday, Oct 1, 2025.
Around 10 pm, Gabrielle noticed their 75x100 grain house was on fire. Despite efforts by firefighters from three different counties, the flames proved to be too much. Hundreds of thousands of dollars in product, numerous grain cleaning, sorting, heating, drying and grinding machinery were destroyed in the fire by early morning. While insurance will cover the cost of certain things, it won’t meet the replacement value on anything. Their once bustling grain mill is no more and the grain cultivated and grown for decades has vanished with the smoke. I am crushed for this passionate, hardworking, and humble family and am asking you to assist them in any way possible.
Next Step Produce was always ahead of its time cultivating wholesome, nutritious morganic (‘more than organic’) grains, fruits, vegetables, spices, and more for over 25 years.
They have been supplying some of DC and Baltimore's finest restaurants, bakeries, and also used to be a feature at DC’s DuPont farmers market pre-Covid. After Covid, Heinz pushed full steam ahead with grain production, including varieties of rice, wheat, and beans. Every single machine used towards that endeavor has been lost to the fire. Grain growers from all over the East Coast would source Heinz and his setup to process their own grains. On top of that, decades of work and germination testing, along with all the seeds saved, were also consumed in the fire.
This loss is devastating, to say the least.
Anything, including an encouraging word or gesture, would be of great help.
I thank you for reading this and I appreciate all the thoughts and prayers directed towards the Thomet family during this time.
For more information about their farm, visit:
www.nextstepproduce.com
https://www.facebook.com/nextstepproduce/",35865,4.0,"Tableware, Drinkware, Stemware, Alcoholic drink, Barware"
https://www.gofundme.com/f/reanimatedmusic?qid=ac823184676f2c3da1bbae3d71d4ae22,Re-Animate Old Seattle's New Favorite Music Shop,https://images.gofundme.com/jvO8Ln4MP-ZtK7Ci18KHeftx-JY=/128x128/https://www.gofundme.com/person/profiles/59825c46b541418e9aff3402f2c2b4d2_edited_photo_1759624141295.jpeg,"Hey Seattle, it’s been too long. We, the former employees of The Trading Musician, are starting a brand new music shop in the U District - just three blocks from the old place, right across from Cowen Park. We’re excited to see you all again at Re-Animated Music, and we want to share the story and the mission statement with you.
When the old place shut down last year it left a massive crater in our music scene. Many of us grew up going there, met bandmates and best friends, bought our first and tenth and favorite guitars, and we know that many of you did too. We were able to help everyone from local folks just starting out to high profile touring bands. We always took pride in being accessible, affordable and fair - but more than that it was a place to see your friends, talk about music, learn about weird gear and get a pack of strings or a pair of drum sticks. We were a refreshing alternative to the big corporate hellscape of a music store up the street.
We all tried working and shopping at other places, but the DIY ethos just wasn’t there, and we didn’t feel they shared our values of how a music shop should be run. These core principles are imperative to what we want our new shop to be:
Keeping instruments available to everyone without a huge paywall or price point that bars the average musician from obtaining vintage equipment. Continuing to serve the community as a resource for information and education. Hosting workshops and empowering you with the knowledge to properly use and maintain your gear. Stocking an extensive library of parts, and providing the services you need to make your instruments the best they can be. Making sure that everything we sell is set up to our standard of playability regardless of price. At its core, we want this new store to be an inspiring place that has the things you need and the off-the-beaten-path treasures you didn’t know you wanted. We want the focus to be on helping our peers - not getting rich.
It became clear that if we wanted to stay in the industry, we needed to start a place of our own. After months of searching, we found the perfect location earlier this year, and we’ve been working to get it ready ever since. The people we meet walking by every day, the musicians we talk to at shows, and the folks that pull over just to look inside all seem really excited for what’s coming.
Our hope was to be open for business back in June but we encountered some massive setbacks with the city. Our renovation and build-out quickly ballooned to double the initial cost and tripled the timeline to open. We heard the same story from all our friends who are contractors, tradespeople, business owners - that this city has no interest in making it easy for small businesses to start up or stay afloat. There are endless and ever-changing hoops to jump through, and every license and permit along the way is expensive. Even seemingly minor regulations can have huge, prohibitively costly implications and these things can, and have, bankrupted businesses before they even get off the ground. Not a problem if you’re a massive corporation or tech company, but the very same hundreds of thousands of dollars are expected of ordinary people, DIYers and independent artists. Since there is no system in place to help lessen that burden, what ends up happening is exactly what you’d expect: the big companies flourish while the mom-and-pops go out of business if they ever exist in the first place.
This is not an accident. Cool alternative businesses usually don’t present a big economic gain for the city, so there’s very little incentive for them to make it work. It’s a calculated effort to prioritize profit over people and community. This is why we have fewer and fewer shops like the one we aim to build. The odds are increasingly stacked against us.
As local musicians, we know people need this kind of place. Places to be together and learn from each other. Places to invent new sounds and fix broken instruments, where everyone involved knows it’s about bringing the music to life - not getting rich. It’s up to us to take care of each other and support the few spots where we can still encounter vibrant interactive art.
We're committed to making it happen. We are here putting in the work, and we are so close to being ready to share this with you, but the costs so far have been pretty staggering. None of us had startup money and after the unexpected and expensive remodels the city required (and the months of rent it took to complete them), we are facing some super intimidating loans. Your donations will be immensely helpful in recouping some of our debt and covering those extensive building costs while we get started. We are endlessly grateful for whatever you can contribute, and we hope that you’ll come hang out with us when we open the doors - we’re shooting for Halloween.
P.S. There are plenty of other ways to help out aside from donating. Please get in touch with us if you have used gear you’d like to sell or donate. We could really use some rugs and carpet - and probably more stuff we’ll think of later. We want to hear from you, even just to talk. There's an option to contact us on this page, or we're on Instagram @reanimatedmusic.",13939,2.0,"Bone, Skeleton, Skull, Graphics, Graphic design"
https://www.gofundme.com/f/theyve-always-been-there-for-usnow-lets-be-there-for-them?qid=ac823184676f2c3da1bbae3d71d4ae22,"DQ Sisters: Always giving, now needing our help.",https://images.gofundme.com/P2tbiU_EqZksh4tPUsCi9MPmwXI=/128x128/https://lh3.googleusercontent.com/a/ACg8ocLJYAJxU4BDlvjYh0LhwfngSW5k0VytJjrfhmtl7CJUwN3b3A=s96-c,"They’ve Always Been There for Us…Now Let’s Be There for Them.
I’ve worked at the Dairy Queen in Medford, NY for years, and I can say without hesitation that our “DQ Sisters” — Michelle and Pat — are more than just owners. They are the heart of this place, and for so many of us, they’ve become family.
I’ve seen it with my own eyes: they’ve stepped in like surrogate mothers when life gets tough. They’ve pulled off Christmas miracles for employees’ kids, quietly paid for funerals, celebrated graduations, and lifted us up through struggles big and small. When one of our team members was battling cancer, they organized a fundraiser to help cover costs. They’ve handed employees money out of their own pockets when someone couldn’t make rent or cover an emergency expense.
The DQ Sisters have also built this Dairy Queen into a true second chance company. They hire people others might overlook — those with disabilities, people rebuilding after addiction, and even folks with felony records who just needed someone to believe in them. For many of us, this place was the only door that opened when every other one was shut. Working here has never just been a job — it’s been a safe, stable, and caring home because of Michelle and Pat.
Now, they’re facing something that could take it all away.
Back in 2020, the DQ Sisters were blindsided with a class action lawsuit over a technicality in how often “manual workers” are paid under New York law. They always followed the state’s guidance, worked through ADP payroll, and made sure every cent of our paychecks was right. But the lawyers wouldn’t back down.
Under immense pressure, Michelle and Pat were forced to settle for $450,000 — more than $300,000 of which went straight to attorney’s fees. The rest will be divided among over 200 employees in the class action (most of whom had no idea this lawsuit even existed).
The most heartbreaking part? The sisters fought to change the law so other small businesses wouldn’t suffer the same fate — and they actually succeeded. But their victory came too late to save themselves.
This settlement has left them devastated. I’ve watched them give their lives to keep this Dairy Queen running for us and our community. And now, unless we rally around them, we could lose it all.
That’s why I’m asking — as a friend, an employee, and someone who loves these women like family — for your help. Every donation will go directly toward helping Michelle and Pat cover this crushing settlement and keep our Dairy Queen open.
If you’ve ever been touched by their generosity, enjoyed a cone or a Blizzard made with love, or simply believe in standing up for good people in a bad situation, please donate if you can and share this far and wide.
Let’s keep the lights on, the soft-serve flowing, and the spirit of the DQ Sisters alive in Medford.",5363,21.0,
https://www.gofundme.com/f/support-wylie-urban-farm-markets-future?qid=ac823184676f2c3da1bbae3d71d4ae22,Support Wylie Urban Farm & Market's Future,https://images.gofundme.com/QroMuPFbRlbst1qCerSwIiIBbEg=/1200x900/https://d2g8igdw686xgo.cloudfront.net/95138093_1759164372479465_r.png,"I’m Dr. Brandon Iker, founder of Wylie Urban Farm & Market and the Twelve Houses. Due to a road closure and county delays, our market and venue face challenges outside our control.
We’re raising a total of $20,000 for operating capital and to launch a wellness studio and workshop space to keep community programs thriving.",6214,7.0,"Jeans, Smile, Leisure, Logo, Palm trees"
https://www.gofundme.com/f/rebuild-a-family-business-damaged-by-fire?qid=ac823184676f2c3da1bbae3d71d4ae22,Rebuild a family business damaged by fire.,https://images.gofundme.com/CzuEaVQcwnN_d0FcdZLxhUXRDMA=/1200x900/https://d2g8igdw686xgo.cloudfront.net/95313027_175952546769740_r.png,"Hi,
I'm Haley, and my husband, Alec, and his business partner (and close friend), David, opened their new business a week and a half ago. Their grand opening was meant to be on October 11th of this year. Alec and David have poured all their energy and passion into the last seven months, making this building a reality for their dreams. Yesterday evening, a neighboring business caught on fire, and the flames impacted Alec and David's new shop. They will no longer be able to open their business, with what wasn't damaged by fire damaged by water-- including very many sentimental art pieces that the two painted. With the current state of the building, our families are left without direction on where to go next. Alec and David are without means to continue working at this time and are hopeful they will be able to reopen soon.
Alec and David are some of the kindest, most generous people I have ever known. While I may not have an objective perspective, I have witnessed Alec go out of his way time and time again to help his community and the people he loves, even at an inconvenience to himself. David and his wife, Alisun, have always opened the doors of their home to any of their friends who needed a place to stay or a meal on a holiday.
It is devastating to our families as we have been overjoyed to see their life's work come to fruition. We never expected to have to ask for help in this way, and appreciate any kind words or support.",8653,3.0,"Motor vehicle, Automotive lighting, Car, Automotive Exterior, Automotive Parking Light"
https://www.gofundme.com/f/urgent-help-needed-to-keep-our-business-open?qid=ac823184676f2c3da1bbae3d71d4ae22,Urgent Help Needed to Keep Our Business Open,https://images.gofundme.com/ZuZ5gNgKIRu_LY__BSqC8Ve6W9I=/1200x900/https://d2g8igdw686xgo.cloudfront.net/95332015_1759556494498487_r.png,"Hi everyone,
We don’t usually ask for help, and it took a lot for us to finally do so.. but we’re being pushed to a difficult point. Due to the current economic situation, we’ve fallen behind on some bills. Our rent, which is close to $9,000 a month, has put a really heavy strain on our finances as a small business.
We are now being asked to pay $32,741.69 in past-due bills that we’ve been doing our best to keep up with. We have until Friday, October 10th, to pay or we will have to close our doors.
Any help or support means the world to us. Thank you all so much for standing by us through everything.",4988,3.0,"Restaurant, Houseplant, Retail"
https://www.gofundme.com/f/help-mayson-ali-altahrawi-provide-for-her-children?qid=ac823184676f2c3da1bbae3d71d4ae22,Help Mayson Ali Al-Tahrawi Provide for Her Children,https://images.gofundme.com/TOQU_hQ_VEKR73AUY2BJyQi-G98=/1200x900/https://d2g8igdw686xgo.cloudfront.net/93638969_1755167414511326_r.png,"My name is Mayson Ali Al-Tahrawi. I am a mother of six children – four boys and two girls – living in Gaza, where life has turned into a daily struggle for survival.
Since the start of this brutal and bloody war, my children and I have been living through unimaginable fear and suffering. The continuous attacks, the destruction all around us, and the endless nights of terror have left deep scars on our hearts. But what makes survival even harder is the ongoing siege that has cut us off from the most basic necessities of life.
Food is scarce, and what little is available comes at prices we cannot afford. Hygiene items, clean water, clothes, and even the simplest household needs have become almost impossible to find. My children often go to bed hungry, and as a mother, it is unbearable to see their small faces looking at me for comfort when I have so little to give.
The blockade has not only destroyed our economy but also our ability to live with dignity. Every day feels like a fight against time — against hunger, cold, and fear. We are trying to survive, but survival is impossible without help.
I am reaching out to you, with all the strength and hope I have left, asking for your support. Your donations can help me provide food for my children, hygiene supplies to keep them healthy, clothes to keep them warm, and other essentials to carry us through these desperate times.
I know the world is full of needs and challenges, but here in Gaza, our situation is critical beyond words. Even the smallest act of kindness can mean the world to us. Your generosity is not just a donation — it is a lifeline.
From my heart to yours, thank you for reading, for caring, and for standing with us in our darkest hours. May you be blessed for every act of compassion you show",4175,53.0,"Rubble, geological phenomenon, Bedrock, Happiness, Building material"
https://www.gofundme.com/f/help-us-grow-our-transport-business?qid=ac823184676f2c3da1bbae3d71d4ae22,Help Us Grow Our Transport Business,https://images.gofundme.com/U3AL0Iirh8g7DoPeUC39byjhEso=/128x128/https://www.gofundme.com/person/profiles/8a35363d6a194639a9e9d1d8dfcfb61a_edited_photo_48B89DAC-42C9-4ACD-95A8-6AC018DA10D7.jpg,"Help Us Grow: Support Our Transportation Business
Two Years Strong – Let’s Drive into the Future Together!
Hello, my name is Gary Scott, and I’m the proud founder of MWP TRANSPORTATION LLC, a locally owned transportation company that has been serving Illinois and Indiana for the past two years. We provide reliable, on-time, and community-focused transportation services for everything from personal rides to freight logistics.
What started as one vehicle and a dream has grown into a small but mighty operation that serves dozens of customers every week. We’ve built trust, delivered consistently, and kept our wheels turning through all challenges. Now, we’re ready to expand—but we need your help to take the next big step.
Why We're Raising Funds
We’re seeking to raise $145,000 to help us grow and meet the increasing demand for safe, affordable, and dependable transportation services in our area.
Here’s exactly what your donation will support:
Additional Vehicle Purchase – To increase capacity and reduce wait times
Vehicle Maintenance and Upgrades – Keeping our current fleet safe and efficient
Booking System Improvements – Making it easier for customers to schedule rides or shipments
Hiring and Training New Drivers – Creating job opportunities in our community
What Makes Us Different
✅ Locally owned and operated
✅ Serving seniors, students, working families & small businesses
✅ Affordable rates with a focus on reliability and safety
✅ Strong customer base and 5-star service track record
We’ve operated with minimal outside funding up until now, reinvesting every dollar back into the business. With your help, we can scale responsibly, meet growing demand, and create even more impact in our community.
How You Can Help
Donate – Every dollar helps! No amount is too small.
Share – Spread the word with friends, family, and your network.
Gratitude and Transparency
We believe in transparency and will share regular updates here on how your contributions are being used. This business is more than transportation—it's a lifeline for many in our community, and we’re deeply grateful for any support.
Let’s move forward—together.
Thank you for riding with us.",9443,18.0,"Motorcycle, Logo, Fuel tank, Shock absorber, Motorcycling"
